Hope(S1),Joy(S2),Surprise(S3),Anticipation(S4),Sadness(S5),Fear(S6),Anger(S7),Disgust(S8),Disgust-Joy(F1) ,Disgust-Hope(F2),Disgust-Anti(F3) ,Disgust-Surprise(F4),Anger-Joy(F5),Anger-Hope(F6),Anger-Anti(F7),Anger-Surprise(F8) ,Fear-Joy(F9),Fear-Hope(F10) ,Fear-Anti(F11),Fear-Surprise(F12) ,Sadness-Joy(F13),Sadness-Hope(F14) ,Sad-Anti(F15) ,Sadness-Surprise(F16),Positive(Joy+Hope) F17,Negative(Dis+Anger+Fear+Sad) F18,Neutral(Anti+Surprise) F19,LABEL
173141,178694,162279,223510,168359,168336,172529,191087,17946,12393,28808,32423,612,6165,10250,50981,4805,10358,6057,55174,4782,10335,6080,55151,351835,700311,385789,1
204328,204362,191968,265063,183773,194032,188967,258640,54312,54278,66672,6423,15361,15395,3001,76096,10296,10330,2064,71031,20555,20589,8195,81290,408690,825412,457031,1
122926,142074,137047,143628,114720,128025,115062,112715,10211,29359,24332,30913,7864,27012,21985,28566,5099,14049,9022,15603,8206,27354,22327,28908,265000,470522,280675,1
125970,131678,120873,101393,133613,128828,129053,117936,8034,13742,2937,16543,3083,2625,8180,27660,2858,2850,7955,27435,7643,1935,12740,32220,257648,509430,222266,1
43582,49767,47096,50255,46614,51944,43532,91220,47638,41453,44124,40965,50,6235,3564,6723,8362,2177,4848,1689,3032,3153,482,3641,93349,233310,97351,1
203371,231540,211162,210934,229932,226213,225838,223189,19818,8351,12027,12255,22467,5702,14676,14904,22842,5327,15051,15279,26561,1608,18770,18998,434911,905172,422096,1
76960,78872,72628,87509,73971,74616,72350,90501,13541,11629,17873,2992,4610,6522,278,15159,2344,4256,1988,12893,2989,4901,1343,13538,155832,311438,160137,1
18418,18862,19080,25204,20142,21426,18835,38749,20331,19887,19669,13545,417,27,245,6369,3008,2564,2346,3778,1724,1280,1062,5062,37280,99152,44284,1
251766,265378,247150,205257,263013,273744,266266,309183,57417,43805,62033,103926,14500,888,19116,61009,21978,8366,26594,68487,11247,2365,15863,57756,517144,1112206,452407,1
144830,160702,137479,147903,142832,146005,137354,184743,39913,24041,47264,36840,7476,23348,125,10549,1175,14697,8526,1898,1998,17870,5353,5071,305532,610934,285382,1
161707,161762,151549,164475,155682,153723,162834,168218,6511,6456,16669,3743,1127,1072,11285,1641,7984,8039,2174,10752,6025,6080,4133,8793,323469,640457,316024,1
160697,165448,159723,212418,168779,170813,167850,206583,45886,41135,46860,5835,7153,2402,8127,44568,10116,5365,11090,41605,8082,3331,9056,43639,326145,714025,372141,1
73813,73819,73628,86393,70903,71942,72931,174606,100793,100787,100978,88213,882,888,697,13462,1871,1877,1686,14451,2910,2916,2725,15490,147632,390382,160021,1
202950,188478,196004,223452,195042,212241,191376,286443,83493,97965,90439,62991,11574,2898,4628,32076,9291,23763,16237,11211,7908,6564,962,28410,391428,885102,419456,1
152155,151434,133957,154178,147608,138145,146122,188003,35848,36569,54046,33825,6033,5312,12165,8056,14010,13289,4188,16033,4547,3826,13651,6570,303589,619878,288135,1
65614,79560,75525,87857,71790,79029,70010,80187,14573,627,4662,7670,4396,9550,5515,17847,13415,531,3504,8828,6176,7770,3735,16067,145174,301016,163382,1
191152,208731,185109,220486,204520,201254,193898,258942,67790,50211,73833,38456,2746,14833,8789,26588,10102,7477,16145,19232,13368,4211,19411,15966,399883,858614,405595,1
106932,107172,101068,90569,110039,105447,103304,176020,69088,68848,74952,85451,3628,3868,2236,12735,1485,1725,4379,14878,3107,2867,8971,19470,214104,494810,191637,1
46693,59199,47188,95789,43889,44120,45598,86993,40300,27794,39805,8796,1095,13601,1590,50191,2573,15079,3068,51669,2804,15310,3299,51900,105892,220600,142977,1
202437,215871,208098,268275,211198,220208,211491,254371,51934,38500,46273,13904,9054,4380,3393,56784,17771,4337,12110,48067,8761,4673,3100,57077,418308,897268,476373,1
54446,56593,44870,62347,54747,51409,52935,80487,26041,23894,35617,18140,1511,3658,8065,9412,3037,5184,6539,10938,301,1846,9877,7600,111039,239578,107217,1
173525,193048,171380,220297,174808,180553,184413,176892,3367,16156,5512,43405,10888,8635,13033,35884,7028,12495,9173,39744,1283,18240,3428,45489,366573,716666,391677,1
